Tran Date,Value Date,CHQNO,Transaction Particulars, Amount(INR),DR|CR,Balance(INR),Branch Name
28-01-2021,28-01-2021,-,IMPS/P2A/102806653036/PHONEPEP/YESBANKL/M7kx4fi0,              2073.00,CR,          2412750.65,AYOTHIAPATTINAM [TN]
28-01-2021,28-01-2021,-,EDC/00398-00398-/M037144000091424,             20811.24,CR,          2433561.89,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/07589-07589-/M037144000162265,              1597.00,CR,          2435158.89,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00411-00411-/M037144033640124,              5481.17,CR,          2440640.06,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00408-00408-/M037144000091426,             16870.37,CR,          2457510.43,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00178-00178-/M037144001142731,             20277.94,CR,          2477788.37,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00408-00408-/M037144001142703,             18108.87,CR,          2495897.24,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/07583-07585-/M037144001892095,              3402.00,CR,          2499299.24,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00073-00073-/M037244001890115,             20413.08,CR,          2519712.32,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00082-00082-/M037244011090028,             31131.16,CR,          2550843.48,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00081-00081-/M037244015100039,             31944.05,CR,          2582787.53,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00401-00401-/M037144015260182,             14341.79,CR,          2597129.32,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00395-00395-/M037144015260200,             15969.66,CR,          2613098.98,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00062-00062-/M037244029690020,             10692.54,CR,          2623791.52,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00412-00412-/M037144021790631,              5810.54,CR,          2629602.06,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00412-00412-/M037144021790630,             19358.19,CR,          2648960.25,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00401-00401-/M037144015260180,             20718.33,CR,          2669678.58,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00412-00412-/M037144015260192,             17604.64,CR,          2687283.22,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00400-00400-/M037144015260198,             14101.20,CR,          2701384.42,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00409-00409-/M037144015260184,             28826.73,CR,          2730211.15,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00281-00281-/M037144015260190,             10502.84,CR,          2740713.99,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00410-00410-/M037144015260194,             22563.13,CR,          2763277.12,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00371-00371-/M037144015260188,              9256.16,CR,          2772533.28,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00394-00394-/M037144021790632,             35461.68,CR,          2807994.96,ATM RECONCILATION CENTRE
28-01-2021,28-01-2021,-,EDC/00397-00397-/M037144015260196,              6492.90,CR,          2814487.86,ATM RECONCILATION CENTRE
